url,img
/tin-tuc/hoi-dap-bac-si/thuong-xuyen-hat-hoi-kem-dau-tuc-nguc-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220929_034904_472025_hat-hoi-kem-so-mui-kh.max-800x800.png
/tin-tuc/hoi-dap-bac-si/ngoi-day-hay-chong-mat-kem-lanh-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220924_045532_076449_nhuc-dau-chong-mat-ke.max-800x800.png
/tin-tuc/hoi-dap-bac-si/nguoi-tim-tai-khi-tam-nuoc-lanh-kem-kho-tho-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220520_223739_676404_Thuong-xuyen-kho-tho.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/thieu-mau-nhe-kem-dau-nguc-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220228_100605_202508_thieu-mau-co-nguy-hie.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/kho-tho-tay-chan-te-lanh-co-nguy-hiem-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220924_030838_672561_Ho-kem-tuc-nguc-kho-t.max-800x800.png
/tin-tuc/hoi-dap-bac-si/chay-dich-nhieu-sau-mo-tran-khi-phoi-co-nguy-hiem-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210729_224623_688735_0.max-800x800.png
/tin-tuc/hoi-dap-bac-si/khac-dom-ra-mau-kem-kho-tho-co-phai-ung-thu-vom-hong-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220226_035747_038496_7.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dau-rat-co-hong-khan-tieng-khi-cho-con-bu-nen-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20200320_040403_623775_dau-rat-co-hong.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/amidan-noi-dom-mun-co-phai-ung-thu-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210313_030258_128453_Viem_amidan_man_tinh.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dau-mui-kem-dau-dau-tung-con-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220924_234507_892187_dau-hong-kem-so-mui.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nuoc-bot-dac-kem-kho-mieng-la-dau-hieu-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220930_102110_229422_sung-dau-hong-kem-kha.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nuot-dau-sau-xa-tri-ung-thu-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220221_133127_461953_20190706_034951_73076.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/viem-xoang-kem-chay-nuoc-mui-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220116_032507_494572_hoa-cut-lon-chua-viem.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nguoi-benh-tut-canxi-nen-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220418_015453_278597_ha-canxi-mau-dieu-tri.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/benh-nhan-tieu-duong-tuyp-1-co-uong-duoc-ngu-coc-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210723_044231_976958_tre-9-thang-an-gi.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/sot-chong-mat-kem-non-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220924_072216_124210_roi-loan-tien-dinh-da.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/co-chua-khoi-hoan-toan-bang-quang-tang-hoat-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210216_164942_456402_hoi-chung-bang-quang-.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/lam-sao-de-het-ngu-ngay/,https://vinmec-prod.s3.amazonaws.com/images/20220311_014757_665032_ngu-ngay-to.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dot-nhien-chan-nguoi-met-moi-co-phai-do-ha-duong-huyet-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220406_151644_164101_hau-covid-chan-an.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/moi-kho-bong-da-lau-nam-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20210418_133431_876320_moi_kho.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/man-ngua-lan-rong-tu-dui-xuong-co-chan-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220121_041348_190996_tre-bi-noi-man-do-nhu.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/chi-so-mcv-va-mch-thap-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220209_080339_128073_20190806_072732_52387.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/chi-so-lym-547-va-gran-396-co-y-nghia-gi/,https://vinmec-prod.s3.amazonaws.com/images/20201225_085445_164052_25a.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/viem-tai-khong-mu-kem-nong-rat-tai-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20210929_223525_749164_0.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nguoi-bi-loet-ban-chan-tieu-duong-co-dau-hieu-nao/,https://vinmec-prod.s3.amazonaws.com/images/20210222_005007_649674_loet-ban-chan-tieu-du.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/thieu-mau-nao-hay-huyet-ap-thap-gay-say-xe-khong/,https://vinmec-prod.s3.amazonaws.com/images/20211227_072914_241897_1.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tai-can-sau-4-nam-mo-mat-can-thi-lasik-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20211126_070222_397777_bam-huyet-chua-can-th.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/chi-so-cholesterol-toan-phan-thap-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20211108_094533_046106_cac-thuoc-dieu-tri-ta.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/benh-khop-thai-duong-ham-co-tri-khoi-hoan-toan-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220828_045430_682474_dieu-tri-roi-loan-kho.max-800x800.png
/tin-tuc/hoi-dap-bac-si/dau-nhuc-rang-kem-dau-dau-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220522_033051_742674_Dau-nhuc-rang-sau-khi.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nguoi-bi-day-sung-nang-long-co-nen-tay-te-bao-chet-khong/,https://vinmec-prod.s3.amazonaws.com/images/20221023_135337_549222_20220720_day-sung-nan.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/noi-man-ngua-keo-dai-2-tuan-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220326_051416_830464_me-day-do-anh-sang-ma.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/viem-tuy-rang-ben-trong-phai-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20211012_041343_390573_16.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/sau-nho-rang-khon-bi-dau-nhuc-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220425_173719_099276_nho-rang-vinh-vien-co.max-800x800.png
/tin-tuc/hoi-dap-bac-si/hay-nhuc-kem-dau-phia-sau-nua-dau-co-nghiem-trong-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220924_234312_462924_dau-co-nghet-mui-kem-.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/thuong-xuyen-mat-ngu-kem-chong-mat-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20221003_042228_932556_mat-ngu-keo-dai.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dieu-tri-dai-thao-duong-nhu--nao/,https://vinmec-prod.s3.amazonaws.com/images/20221019_091236_829711_tien-dai-thao-duong.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tieu-buot-kem-ra-mau-hong-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220523_070131_881874_tieu-buot-tieu-rat-nh.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tieu-nhieu-lan-kem-dau-bung-duoi-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220928_014044_962668_hay-tieu-nhieu-lan-ti.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/suy-man-tinh-giai-doan-3-co-nguy--hiem-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210228_122531_262912_suy-than-man-tinh.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tieu-khong-tu-chu-nguyen-nhan-do-dau/,https://vinmec-prod.s3.amazonaws.com/images/20220128_003531_662489_di-tieu-nhieu-lan-la-.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tieu-buot-kem-tieu-rat-la-dau-hieu-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220925_035110_982363_tiue-buot-kem-tieu-ra.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/mat-ngu-kem-dau-day-chang-o-co-sau-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20221023_125559_961504_dau-co-gay-1_800x586.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dau-dau-nhieu-o-phan-tran-la-dau-hieu-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220924_072216_124210_roi-loan-tien-dinh-da.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/chay-dich-mui-trong-kem-nghet-mui-ban-dem-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220223_002012_772400_chay-nuoc-mui-14.max-800x800.png
/tin-tuc/hoi-dap-bac-si/ho-thuong-xuyen-kem-ngua-hong-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220929_031240_513272_cam-kem-ho-khi-mang-b.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/hoi-mieng-kem-luoi-co-mang-trang-phai-khac-phuc-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220721_233535_880443_nguyen-nhan-gay-hoi-m.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/cai-thien-ngu-ngay-nhu-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220311_014757_665032_ngu-ngay-to.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/co-nen-giat-quan-ao-chung-voi-nguoi-nhiem-hiv-aids-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220114_122512_347821_benh-hiv.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tiep-xuc-voi-nguoi-moi-mac-thuy-dau-co-lay-nhiem-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220925_224429_694943_thuy-dau.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/thuong-xuyen-chay-mau-cam-la-bieu-hien-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220124_064131_806533_10.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dau-dau-nhuc-mat-la-dau-hieu-cua-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220927_225226_078143_dau-dau-giat-giat-tre.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/moc-mun-sung-do-trong-ong-tai-gay-dau-nhuc-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220928_033835_442118_tai-noi-mun-kem-dau-n.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/mat-sung-do-kem-ngua-mat-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220705_020928_442764_cach-chua-dau-mat-do-.max-800x800.png
/tin-tuc/hoi-dap-bac-si/dau-nhuc-sau-nho-rang-khon-ham-duoi-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20211022_103140_542190_5.max-800x800.png
/tin-tuc/hoi-dap-bac-si/dau-duoi-ham-kho-nhai-kem-sot-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210412_171834_483397_Dau_duoi_ham_trai.max-800x800.png
/tin-tuc/hoi-dap-bac-si/dau-e-buot-ham-sau-khi-nho-rang-so-8-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20211125_085303_612260_22.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dieu-tri-roi-loan-thai-duong-ham-nhu-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220602_085218_302140_dau-xuong-ham.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/benh-viem-quanh-rang-viem-nha-chu-dieu-tri-nhu-nao/,https://vinmec-prod.s3.amazonaws.com/images/20190626_085332_679062_nguyen_nhan_viem_quan.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/ha-mieng-co-tieng-keu-khop-o-thai-duong-ham-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20210502_130635_395295_trieu-chung-roi-loan-.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/hoi-mieng-keo-dai-6-nam-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220721_233535_880443_nguyen-nhan-gay-hoi-m.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/tieu-buot-kem-tieu-rat-sau-khi-quan-he-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220523_070131_881874_tieu-buot-tieu-rat-nh.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/mat-ngu-tran-troc-ca-dem-phai-khac-phuc-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220923_131557_624693_mat-ngu-kem-sut-can-k.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nguoi-bi-thien-dau-thong-nen-gi-kieng-gi/,https://vinmec-prod.s3.amazonaws.com/images/20200313_144324_582368_benh-hoc---tim-hieu-v.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/di-ung-mat-kem-chay-nuoc-mat-can-khac-phuc-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220105_133624_771858_di-ung-mat-2.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/ho-kem-nghet-mui-co-dung-dieu-hoa-khi-ngu-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220919_134447_800545_ho-keo-dai-kem-ra-nuo.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/chan-doan-viem-mui-di-ung-nhu-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220731_092906_827300_benh-viem-mui-di-ung-.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/hay-hoa-mat-chong-mat-kem-tim-dap-nhanh-co-sao-khong/,https://vinmec-prod.s3.amazonaws.com/images/20220219_075442_643048_Mat_giat_theo_nhip_ke.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/viem-hong-co-hong-co-hat-trang-dieu-tri-nao/,https://vinmec-prod.s3.amazonaws.com/images/20220523_050151_861936_viem_hong_man_tinh_1.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/nguyen-nhan-hoi-tho-co-mui-hoi-nang-la-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220120_235025_791661_nguyen-nhan-hoi-tho-h.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/dot-nhien-chay-mau-mui-la-do-dau/,https://vinmec-prod.s3.amazonaws.com/images/20210929_024511_690898_2.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/viem-nieu-dao-dieu-tri-ra-sao/,https://vinmec-prod.s3.amazonaws.com/images/20210909_092211_335050_1.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/sung-dau-chan-rang-ham-nen-uong-thuoc-gi/,https://vinmec-prod.s3.amazonaws.com/images/20210503_102626_762041_5.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/soi-kem-soi-nieu-quan-dieu-tri-nao-hieu-qua/,https://vinmec-prod.s3.amazonaws.com/images/20220820_164808_761381_dieu-tri-soi-than-ban.max-800x800.png
/tin-tuc/hoi-dap-bac-si/che-do-dinh-duong-khoa-hoc-cho-nguoi-benh-tieu-duong/,https://vinmec-prod.s3.amazonaws.com/images/20220915_075744_690613_che-do-dinh-duong-cho.max-800x800.jpg
/tin-tuc/hoi-dap-bac-si/thuong-dau-bung-lanh-kem-sut-can-la-benh-gi/,https://vinmec-prod.s3.amazonaws.com/images/20220923_133217_023336_cach-giam-dau-bung-ki.max-800x800.jpg
